id,Coffee_Name,Coffee_Type,Description,Coffee_Shop,Flavour,Milk_Type,Temperature,Roast_Type,Origin,Image_URL
70,Cappuccino,Cappuccino,,Richiamo Coffee,,Dairy Milk,Frappe,Medium Dark,"Guatemala, Columbia, Brazil, Indonesia",https://richiamocoffee.com/wp-content/uploads/2023/04/1.-Ice-Blended-Cappuccino-600x600.jpg
71,Mochaccino,Mocha,,Richiamo Coffee,Chocolate,Dairy Milk,Frappe,Medium Dark,"Guatemala, Columbia, Brazil, Indonesia",https://richiamocoffee.com/wp-content/uploads/2023/04/2.-Ice-Blended-Mochaccino-600x600.jpg
72,White Mochaccino,Mocha,,Richiamo Coffee,White Chocolate,Dairy Milk,Frappe,Medium Dark,"Guatemala, Columbia, Brazil, Indonesia",https://richiamocoffee.com/wp-content/uploads/2023/04/3.-Ice-Blended-White-Mochaccino-600x600.jpg
73,Hazelnut Cappuccino,Cappuccino,,Richiamo Coffee,Hazelnut,Dairy Milk,Frappe,Medium Dark,"Guatemala, Columbia, Brazil, Indonesia",https://richiamocoffee.com/wp-content/uploads/2023/04/4.-Ice-Blended-Hazelnut-Cappuccino-600x600.jpg
74,Caramello Cappuccino,Cappuccino,,Richiamo Coffee,Caramel,Dairy Milk,Frappe,Medium Dark,"Guatemala, Columbia, Brazil, Indonesia",https://richiamocoffee.com/wp-content/uploads/2023/04/6.-Ice-Blended-Caramello-Cappuccino-600x600.jpg
75,Biscotti Cappuccino,Cappuccino,,Richiamo Coffee,Biscotti,Dairy Milk,Frappe,Medium Dark,"Guatemala, Columbia, Brazil, Indonesia",https://richiamocoffee.com/wp-content/uploads/2023/04/5.-Ice-Blended-Biscotti-Cappuccino-600x600.jpg
76,Caramello Cappuccino,Cappuccino,,Richiamo Coffee,Caramel,Dairy Milk,Frappe,Medium Dark,"Guatemala, Columbia, Brazil, Indonesia",https://richiamocoffee.com/wp-content/uploads/2023/04/6.-Ice-Blended-Caramello-Cappuccino-600x600.jpg
77,Espresso (Indonesian Beans),Espresso,,Gigi Coffee,,,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/espresso.png
78,Espresso (Colombian Beans),Espresso,,Gigi Coffee,,,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/espresso.png
79,Hot Americano (Indonesian Beans),Americano,,Gigi Coffee,,,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/americano-h.png
80,Hot Americano (Colombian Beans),Americano,,Gigi Coffee,,,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/americano-h.png
81,Iced Americano (Indonesian Beans),Americano,,Gigi Coffee,,,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/americano-h.png
82,Iced Americano (Colombian Beans),Americano,,Gigi Coffee,,,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/americano-h.png
83,Hot Caffe Latte (Indonesian Beans),Latte,,Gigi Coffee,,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-latte-h.png
84,Hot Caffe Latte (Colombian Beans),Latte,,Gigi Coffee,,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-latte-h.png
85,Iced Caffe Latte (Indonesian Beans),Latte,,Gigi Coffee,,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-latte-h.png
86,Iced Caffe Latte (Colombian Beans),Latte,,Gigi Coffee,,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-latte-h.png
87,Hot Cappuccino (Indonesian Beans),Cappuccino,,Gigi Coffee,,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/04/cappuccino.png
88,Hot Cappuccino (Colombian Beans),Cappuccino,,Gigi Coffee,,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/04/cappuccino.png
89,Iced Buttercream Latte,Latte,,Gigi Coffee,Buttercream,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/buttercream-latte-h.png
90,Hot Buttercream Latte,Latte,,Gigi Coffee,Buttercream,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/buttercream-latte-h.png
91,Hot Hazelnut Latte (Indonesian Beans),Latte,,Gigi Coffee,Hazelnut,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/hazelnut-latte-h.png
92,Hot Hazelnut Latte (Colombian Beans),Latte,,Gigi Coffee,Hazelnut,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/hazelnut-latte-h.png
93,Iced Hazelnut Latte (Indonesian Beans),Latte,,Gigi Coffee,Hazelnut,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/hazelnut-latte-h.png
94,Iced Hazelnut Latte (Colombian Beans),Latte,,Gigi Coffee,Hazelnut,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/hazelnut-latte-h.png
95,Hot Pink Friday Strawberry Cookies Latte (Indonesian Beans),Latte,,Gigi Coffee,Strawberry,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pink-friday-strawberry-cookies-latte-h.png
96,Hot Pink Friday Strawberry Cookies Latte (Colombian Beans),Latte,,Gigi Coffee,Strawberry,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pink-friday-strawberry-cookies-latte-h.png
97,Iced Pink Friday Strawberry Cookies Latte (Indonesian Beans),Latte,,Gigi Coffee,Strawberry,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pink-friday-strawberry-cookies-latte-h.png
98,Iced Pink Friday Strawberry Cookies Latte (Colombian Beans),Latte,,Gigi Coffee,Strawberry,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pink-friday-strawberry-cookies-latte-h.png
99,Hot Pecan Praline Latte (Indonesian Beans),Latte,,Gigi Coffee,Pecan,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pecan-praline-latte-h.png
100,Hot Pecan Praline Latte (Colombian Beans),Latte,,Gigi Coffee,Pecan,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pecan-praline-latte-h.png
101,Iced Pecan Praline Latte (Indonesian Beans),Latte,,Gigi Coffee,Pecan,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pecan-praline-latte-h.png
102,Iced Pecan Praline Latte (Colombian Beans),Latte,,Gigi Coffee,Pecan,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/pecan-praline-latte-h.png
103,Hot Almond Macadamia Latte (Indonesian Beans),Latte,,Gigi Coffee,Almond,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/almond-macadamia-latte-h.png
104,Hot Almond Macadamia Latte (Colombian Beans),Latte,,Gigi Coffee,Almond,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/almond-macadamia-latte-h.png
105,Iced Almond Macadamia Latte (Indonesian Beans),Latte,,Gigi Coffee,Almond,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/almond-macadamia-latte-h.png
106,Iced Almond Macadamia Latte (Colombian Beans),Latte,,Gigi Coffee,Almond,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/almond-macadamia-latte-h.png
107,Hot Caramel Macchiato (Indonesian Beans),Macchiato,,Gigi Coffee,Caramel,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caramel-macchiato-h.png
108,Hot Caramel Macchiato (Colombian Beans),Macchiato,,Gigi Coffee,Caramel,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caramel-macchiato-h.png
109,Iced Caramel Macchiato (Indonesian Beans),Macchiato,,Gigi Coffee,Caramel,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caramel-macchiato-h.png
110,Iced Caramel Macchiato (Colombian Beans),Macchiato,,Gigi Coffee,Caramel,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caramel-macchiato-h.png
111,Hot Caffe Mocha (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-mocha-h.png
112,Hot Caffe Mocha (Colombian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-mocha-h.png
113,Iced Caffe Mocha (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-mocha-h.png
114,Iced Caffe Mocha (Colombian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caffe-mocha-h.png
115,Hot Vanilla Latte (Indonesian Beans),Latte,,Gigi Coffee,Vanilla,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/vanilla-latte-h.png
116,Hot Vanilla Latte (Colombian Beans),Latte,,Gigi Coffee,Vanilla,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/vanilla-latte-h.png
117,Iced Vanilla Latte (Indonesian Beans),Latte,,Gigi Coffee,Vanilla,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/vanilla-latte-h.png
118,Iced Vanilla Latte (Colombian Beans),Latte,,Gigi Coffee,Vanilla,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/vanilla-latte-h.png
119,Hot Monday Blue Cookies Latte (Indonesian Beans),Latte,,Gigi Coffee,,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/monday-blue-cookies-latte-h.png
120,Hot Monday Blue Cookies Latte (Colombian Beans),Latte,,Gigi Coffee,,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/monday-blue-cookies-latte-h.png
121,Iced Monday Blue Cookies Latte (Indonesian Beans),Latte,,Gigi Coffee,,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/monday-blue-cookies-latte-h.png
122,Iced Monday Blue Cookies Latte (Colombian Beans),Latte,,Gigi Coffee,Chocolate,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/monday-blue-cookies-latte-h.png
123,Hot Dark Choco Mocha (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/dark-choco-mocha-h.png
124,Hot Dark Choco Mocha (Colombian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/dark-choco-mocha-h.png
125,Iced Dark Choco Mocha (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/dark-choco-mocha-h.png
126,Iced Dark Choco Mocha (Colombian Beans),Mocha,,Gigi Coffee,Caramel,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/dark-choco-mocha-h.png
127,Hot Seasalt Caramel Macchiato (Indonesian Beans),Macchiato,,Gigi Coffee,Caramel,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-caramel-macchiato-h.png
128,Hot Seasalt Caramel Macchiato (Colombian Beans),Macchiato,,Gigi Coffee,Caramel,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-caramel-macchiato-h.png
129,Iced Seasalt Caramel Macchiato (Indonesian Beans),Macchiato,,Gigi Coffee,Caramel,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-caramel-macchiato-h.png
130,Iced Seasalt Caramel Macchiato (Colombian Beans),Macchiato,,Gigi Coffee,Chocolate,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-caramel-macchiato-h.png
131,Hot Seasalt Choco Cream Mocha (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Hot,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-choco-cream-mocha-h.png
132,Hot Seasalt Choco Cream Mocha (Colombian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Hot,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-choco-cream-mocha-h.png
133,Iced Seasalt Choco Cream Mocha (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Iced,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-choco-cream-mocha-h.png
134,Iced Seasalt Choco Cream Mocha (Colombian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Iced,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/seasalt-choco-cream-mocha-h.png
135,Dark Choco Mocha (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Frappe,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/dark-choco-mocha-g-frappe.png
136,Dark Choco Mocha (Colombian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Frappe,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/dark-choco-mocha-g-frappe.png
137,Caramel Espresso (Indonesian Beans),Espresso,,Gigi Coffee,,Dairy Milk,Frappe,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caramel-espresso-g-frappe.png
138,Caramel Espresso (Colombian Beans),Espresso,,Gigi Coffee,,Dairy Milk,Frappe,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/caramel-espresso-g-frappe.png
139,Espresso (Indonesian Beans),Espresso,,Gigi Coffee,,Dairy Milk,Frappe,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/espresso-g-frappe.png
140,Espresso (Colombian Beans),Espresso,,Gigi Coffee,,Dairy Milk,Frappe,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/espresso-g-frappe.png
141,Mocha More (Indonesian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Frappe,Medium Dark,Indonesia,https://www.gigicoffee.com/wp-content/uploads/2023/06/mocha-more.png
142,Mocha More (Colombian Beans),Mocha,,Gigi Coffee,Chocolate,Dairy Milk,Frappe,Medium,Colombia,https://www.gigicoffee.com/wp-content/uploads/2023/06/mocha-more.png
143,Iced Buttercreme Latte,Latte,,Zus Coffee,Buttercream,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Buttercreme-Latte.png
144,Hot Buttercreme Latte,Latte,,Zus Coffee,Buttercream,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Buttercreme-Latte.png
145,Iced Buttercreme Black,Americano,,Zus Coffee,Buttercream,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Buttercreme-Black.png
146,Hot Buttercreme Black,Americano,,Zus Coffee,Buttercream,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Buttercreme-Black.png
147,Iced Velvet Crème Latte,Latte,,Zus Coffee,Buttercream,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Velvet-Creme-Latte.png
148,Hot Velvet Crème Latte,Latte,,Zus Coffee,Buttercream,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Velvet-Creme-Latte.png
149,Hot Velvet Crème Mocha,Mocha,,Zus Coffee,Chocolate,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Velvet-Creme-Mocha-Latte.png
150,Iced Velvet Crème Mocha,Mocha,,Zus Coffee,Chocolate,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Velvet-Creme-Mocha-Latte.png
151,Hot Velvet Crème Matcha Latte,Latte,,Zus Coffee,Matcha,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Velvet-Creme-Mocha-Latte.png
152,Iced Velvet Crème Matcha Latte,Latte,,Zus Coffee,Matcha,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Velvet-Creme-Mocha-Latte.png
